AMDDevice: opening 0 with target (11, 0, 0) arch gfx1100
opened device AMD from pid:28193
opened device DISK:/home/ubuntu/models/Qwen3-14B-Q4_K_M.gguf from pid:28193
*** AMD        1 copy    8.38 GB,     AMD <- DISK:/h            arg  2 mem   9.00 GB tm   4873.56ms/  4873.56ms (      0 GFLOPS    2|2      GB/s)
opened device PYTHON from pid:28193
scheduled     2 kernels in    12.64 ms | CACHE MISS 6ad19580 |   29292 uops in cache | <frozen runpy>:88
scheduled     2 kernels in     2.22 ms | CACHE MISS 4f78d1d7 |   29423 uops in cache | <frozen runpy>:88
*** DISK:/h   36 view   14.06 MB @ 1940069248                   arg  2 mem   9.54 GB tm      2.10us/  5169.77ms (      0 GFLOPS    0|0      GB/s)
*** AMD       37 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem   9.55 GB tm   8749.26us/  5178.52ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.21 ms | CACHE MISS 3bc3fba2 |   29430 uops in cache | <frozen runpy>:88
*** DISK:/h   38 view   47.81 MB @ 2032229760                   arg  2 mem   9.55 GB tm      1.94us/  5178.52ms (      0 GFLOPS    0|0      GB/s)
*** AMD       39 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem   9.60 GB tm     27.74ms/  5206.26ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.22 ms | CACHE MISS a3b6448e |   29437 uops in cache | <frozen runpy>:88
*** DISK:/h   40 view   47.81 MB @ 2082385280                   arg  2 mem   9.60 GB tm      1.88us/  5206.26ms (      0 GFLOPS    0|0      GB/s)
*** AMD       41 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem   9.65 GB tm     27.22ms/  5233.48ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.23 ms | CACHE MISS 3ae266e4 |   29444 uops in cache | <frozen runpy>:88
*** DISK:/h   42 view   14.06 MB @ 2135490432                   arg  2 mem   9.65 GB tm      1.95us/  5233.48ms (      0 GFLOPS    0|0      GB/s)
*** AMD       43 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem   9.67 GB tm   8802.47us/  5242.28ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.22 ms | CACHE MISS e0bfa475 |   29451 uops in cache | <frozen runpy>:88
*** DISK:/h   44 view   14.06 MB @ 2150236032                   arg  2 mem   9.67 GB tm      2.05us/  5242.29ms (      0 GFLOPS    0|0      GB/s)
*** AMD       45 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem   9.68 GB tm   8743.30us/  5251.03ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.22 ms | CACHE MISS 2665c493 |   29458 uops in cache | <frozen runpy>:88
*** DISK:/h   46 view   47.81 MB @ 2167931264                   arg  2 mem   9.68 GB tm      2.10us/  5251.03ms (      0 GFLOPS    0|0      GB/s)
*** AMD       47 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem   9.73 GB tm     26.97ms/  5278.00ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.22 ms | CACHE MISS 46910ca1 |   29465 uops in cache | <frozen runpy>:88
*** DISK:/h   48 view   47.81 MB @ 2218066304                   arg  2 mem   9.73 GB tm      1.93us/  5278.00ms (      0 GFLOPS    0|0      GB/s)
*** AMD       49 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem   9.78 GB tm     27.00ms/  5305.01ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.22 ms | CACHE MISS 77e892a3 |   29472 uops in cache | <frozen runpy>:88
*** DISK:/h   50 view   47.81 MB @ 2268221824                   arg  2 mem   9.78 GB tm      2.08us/  5305.01ms (      0 GFLOPS    0|0      GB/s)
*** AMD       51 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem   9.83 GB tm     27.02ms/  5332.03ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.22 ms | CACHE MISS a8fc8b22 |   29479 uops in cache | <frozen runpy>:88
*** DISK:/h   52 view   14.06 MB @ 2321326976                   arg  2 mem   9.83 GB tm      2.00us/  5332.03ms (      0 GFLOPS    0|0      GB/s)
*** AMD       53 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem   9.85 GB tm   8825.65us/  5340.86ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.22 ms | CACHE MISS 7d13f257 |   29486 uops in cache | <frozen runpy>:88
*** DISK:/h   54 view   14.06 MB @ 2336072576                   arg  2 mem   9.85 GB tm      2.03us/  5340.86ms (      0 GFLOPS    0|0      GB/s)
*** AMD       55 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem   9.86 GB tm   8793.37us/  5349.65ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.23 ms | CACHE MISS 9830f613 |   29493 uops in cache | <frozen runpy>:88
*** DISK:/h   56 view   47.81 MB @ 2353767808                   arg  2 mem   9.86 GB tm      1.94us/  5349.65ms (      0 GFLOPS    0|0      GB/s)
*** AMD       57 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem   9.91 GB tm     27.18ms/  5376.83ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.22 ms | CACHE MISS ad36983b |   29500 uops in cache | <frozen runpy>:88
*** DISK:/h   58 view   47.81 MB @ 2403902848                   arg  2 mem   9.91 GB tm      2.07us/  5376.83ms (      0 GFLOPS    0|0      GB/s)
*** AMD       59 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem   9.96 GB tm     27.00ms/  5403.83ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.23 ms | CACHE MISS dd8db75d |   29507 uops in cache | <frozen runpy>:88
*** DISK:/h   60 view   47.81 MB @ 2454058368                   arg  2 mem   9.96 GB tm      2.02us/  5403.83ms (      0 GFLOPS    0|0      GB/s)
*** AMD       61 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem  10.01 GB tm     27.16ms/  5430.99ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.24 ms | CACHE MISS 09557f0d |   29514 uops in cache | <frozen runpy>:88
*** DISK:/h   62 view   14.06 MB @ 2507163520                   arg  2 mem  10.01 GB tm      2.05us/  5430.99ms (      0 GFLOPS    0|0      GB/s)
*** AMD       63 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem  10.03 GB tm   8765.35us/  5439.76ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.22 ms | CACHE MISS 16d4f820 |   29521 uops in cache | <frozen runpy>:88
*** DISK:/h   64 view   14.06 MB @ 2521909120                   arg  2 mem  10.03 GB tm      2.01us/  5439.76ms (      0 GFLOPS    0|0      GB/s)
*** AMD       65 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem  10.04 GB tm   8733.62us/  5448.49ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.23 ms | CACHE MISS 9ddbf8a9 |   29528 uops in cache | <frozen runpy>:88
*** DISK:/h   66 view   47.81 MB @ 2614069632                   arg  2 mem  10.04 GB tm      1.92us/  5448.50ms (      0 GFLOPS    0|0      GB/s)
*** AMD       67 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem  10.09 GB tm     27.42ms/  5475.92ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.25 ms | CACHE MISS 1afb9d9c |   29535 uops in cache | <frozen runpy>:88
*** DISK:/h   68 view   47.81 MB @ 2664225152                   arg  2 mem  10.09 GB tm      2.03us/  5475.92ms (      0 GFLOPS    0|0      GB/s)
*** AMD       69 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem  10.14 GB tm     27.17ms/  5503.09ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.23 ms | CACHE MISS c4e17c94 |   29542 uops in cache | <frozen runpy>:88
*** DISK:/h   70 view   14.06 MB @ 2717330304                   arg  2 mem  10.14 GB tm      1.91us/  5503.10ms (      0 GFLOPS    0|0      GB/s)
*** AMD       71 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem  10.15 GB tm   8813.08us/  5511.91ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.21 ms | CACHE MISS 183c8b1c |   29549 uops in cache | <frozen runpy>:88
*** DISK:/h   72 view   14.06 MB @ 2732075904                   arg  2 mem  10.15 GB tm      2.00us/  5511.91ms (      0 GFLOPS    0|0      GB/s)
*** AMD       73 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem  10.17 GB tm   9182.07us/  5521.09ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.22 ms | CACHE MISS 00ca1b66 |   29556 uops in cache | <frozen runpy>:88
*** DISK:/h   74 view   47.81 MB @ 2749771136                   arg  2 mem  10.17 GB tm      2.06us/  5521.09ms (      0 GFLOPS    0|0      GB/s)
*** AMD       75 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem  10.22 GB tm     27.21ms/  5548.31ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.22 ms | CACHE MISS 13e88e2b |   29563 uops in cache | <frozen runpy>:88
*** DISK:/h   76 view   47.81 MB @ 2799906176                   arg  2 mem  10.22 GB tm      2.00us/  5548.31ms (      0 GFLOPS    0|0      GB/s)
*** AMD       77 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem  10.27 GB tm     26.96ms/  5575.27ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.22 ms | CACHE MISS ab3da6c2 |   29570 uops in cache | <frozen runpy>:88
*** DISK:/h   78 view   47.81 MB @ 2850061696                   arg  2 mem  10.27 GB tm      1.94us/  5575.27ms (      0 GFLOPS    0|0      GB/s)
*** AMD       79 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem  10.32 GB tm     26.88ms/  5602.15ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.24 ms | CACHE MISS 547538b7 |   29577 uops in cache | <frozen runpy>:88
*** DISK:/h   80 view   14.06 MB @ 2903166848                   arg  2 mem  10.32 GB tm      2.02us/  5602.16ms (      0 GFLOPS    0|0      GB/s)
*** AMD       81 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem  10.33 GB tm   8803.46us/  5610.96ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.22 ms | CACHE MISS 31f737c5 |   29584 uops in cache | <frozen runpy>:88
*** DISK:/h   82 view   14.06 MB @ 2917912448                   arg  2 mem  10.33 GB tm      1.95us/  5610.96ms (      0 GFLOPS    0|0      GB/s)
*** AMD       83 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem  10.35 GB tm   8783.29us/  5619.74ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.21 ms | CACHE MISS 22b48afb |   29591 uops in cache | <frozen runpy>:88
*** DISK:/h   84 view   47.81 MB @ 2935607680                   arg  2 mem  10.35 GB tm      2.00us/  5619.75ms (      0 GFLOPS    0|0      GB/s)
*** AMD       85 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem  10.40 GB tm     26.84ms/  5646.59ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.28 ms | CACHE MISS 2d4f42a5 |   29598 uops in cache | <frozen runpy>:88
*** DISK:/h   86 view   47.81 MB @ 2985742720                   arg  2 mem  10.40 GB tm      2.03us/  5646.59ms (      0 GFLOPS    0|0      GB/s)
*** AMD       87 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem  10.45 GB tm     27.29ms/  5673.88ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.23 ms | CACHE MISS d2d8df6b |   29605 uops in cache | <frozen runpy>:88
*** DISK:/h   88 view   47.81 MB @ 3035898240                   arg  2 mem  10.45 GB tm      1.91us/  5673.88ms (      0 GFLOPS    0|0      GB/s)
*** AMD       89 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem  10.50 GB tm     27.17ms/  5701.05ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.27 ms | CACHE MISS cd4a45ce |   29612 uops in cache | <frozen runpy>:88
*** DISK:/h   90 view   14.06 MB @ 3089003392                   arg  2 mem  10.50 GB tm      2.03us/  5701.05ms (      0 GFLOPS    0|0      GB/s)
*** AMD       91 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem  10.51 GB tm   8783.49us/  5709.83ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.20 ms | CACHE MISS ca5ae509 |   29619 uops in cache | <frozen runpy>:88
*** DISK:/h   92 view   14.06 MB @ 3103748992                   arg  2 mem  10.51 GB tm      1.95us/  5709.84ms (      0 GFLOPS    0|0      GB/s)
*** AMD       93 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem  10.53 GB tm   8799.34us/  5718.64ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.21 ms | CACHE MISS 76b65002 |   29626 uops in cache | <frozen runpy>:88
*** DISK:/h   94 view   47.81 MB @ 3195909504                   arg  2 mem  10.53 GB tm      1.92us/  5718.64ms (      0 GFLOPS    0|0      GB/s)
*** AMD       95 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem  10.58 GB tm     26.80ms/  5745.44ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.22 ms | CACHE MISS ef711dcf |   29633 uops in cache | <frozen runpy>:88
*** DISK:/h   96 view   47.81 MB @ 3246065024                   arg  2 mem  10.58 GB tm      1.94us/  5745.44ms (      0 GFLOPS    0|0      GB/s)
*** AMD       97 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem  10.63 GB tm     26.96ms/  5772.40ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.21 ms | CACHE MISS 2678f4f4 |   29640 uops in cache | <frozen runpy>:88
*** DISK:/h   98 view   14.06 MB @ 3299170176                   arg  2 mem  10.63 GB tm      2.01us/  5772.41ms (      0 GFLOPS    0|0      GB/s)
*** AMD       99 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem  10.64 GB tm   8771.16us/  5781.18ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.21 ms | CACHE MISS 0d919937 |   29647 uops in cache | <frozen runpy>:88
*** DISK:/h  100 view   14.06 MB @ 3313915776                   arg  2 mem  10.64 GB tm      1.97us/  5781.18ms (      0 GFLOPS    0|0      GB/s)
*** AMD      101 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem  10.66 GB tm   8868.02us/  5790.05ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.21 ms | CACHE MISS 594418e7 |   29654 uops in cache | <frozen runpy>:88
*** DISK:/h  102 view   47.81 MB @ 3331611008                   arg  2 mem  10.66 GB tm      2.04us/  5790.05ms (      0 GFLOPS    0|0      GB/s)
*** AMD      103 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem  10.71 GB tm     26.85ms/  5816.89ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.22 ms | CACHE MISS bdd549da |   29661 uops in cache | <frozen runpy>:88
*** DISK:/h  104 view   47.81 MB @ 3381746048                   arg  2 mem  10.71 GB tm      1.98us/  5816.90ms (      0 GFLOPS    0|0      GB/s)
*** AMD      105 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem  10.76 GB tm     27.13ms/  5844.02ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.22 ms | CACHE MISS e39801be |   29668 uops in cache | <frozen runpy>:88
*** DISK:/h  106 view   47.81 MB @ 3431901568                   arg  2 mem  10.76 GB tm      2.04us/  5844.03ms (      0 GFLOPS    0|0      GB/s)
*** AMD      107 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem  10.81 GB tm     27.21ms/  5871.24ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.20 ms | CACHE MISS 2a40b0ab |   29675 uops in cache | <frozen runpy>:88
*** DISK:/h  108 view   14.06 MB @ 3485006720                   arg  2 mem  10.81 GB tm      2.10us/  5871.24ms (      0 GFLOPS    0|0      GB/s)
*** AMD      109 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem  10.82 GB tm   8799.21us/  5880.04ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.21 ms | CACHE MISS 50915db1 |   29682 uops in cache | <frozen runpy>:88
*** DISK:/h  110 view   14.06 MB @ 3499752320                   arg  2 mem  10.82 GB tm      1.96us/  5880.04ms (      0 GFLOPS    0|0      GB/s)
*** AMD      111 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem  10.84 GB tm   8835.42us/  5888.88ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.23 ms | CACHE MISS 8d8661b8 |   29689 uops in cache | <frozen runpy>:88
*** DISK:/h  112 view   47.81 MB @ 3517447552                   arg  2 mem  10.84 GB tm      2.04us/  5888.88ms (      0 GFLOPS    0|0      GB/s)
*** AMD      113 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem  10.89 GB tm     27.19ms/  5916.07ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.26 ms | CACHE MISS 232bbe72 |   29696 uops in cache | <frozen runpy>:88
*** DISK:/h  114 view   47.81 MB @ 3567582592                   arg  2 mem  10.89 GB tm      2.03us/  5916.07ms (      0 GFLOPS    0|0      GB/s)
*** AMD      115 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem  10.94 GB tm     26.93ms/  5943.00ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.23 ms | CACHE MISS e3a3c11e |   29703 uops in cache | <frozen runpy>:88
*** DISK:/h  116 view   47.81 MB @ 3617738112                   arg  2 mem  10.94 GB tm      2.10us/  5943.00ms (      0 GFLOPS    0|0      GB/s)
*** AMD      117 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem  10.99 GB tm     27.03ms/  5970.03ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.22 ms | CACHE MISS 1e1d0090 |   29710 uops in cache | <frozen runpy>:88
*** DISK:/h  118 view   14.06 MB @ 3670843264                   arg  2 mem  10.99 GB tm      2.12us/  5970.04ms (      0 GFLOPS    0|0      GB/s)
*** AMD      119 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem  11.00 GB tm   8870.27us/  5978.91ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.26 ms | CACHE MISS 14881a53 |   29717 uops in cache | <frozen runpy>:88
*** DISK:/h  120 view   14.06 MB @ 3685588864                   arg  2 mem  11.00 GB tm      2.02us/  5978.91ms (      0 GFLOPS    0|0      GB/s)
*** AMD      121 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem  11.02 GB tm   9074.60us/  5987.98ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.20 ms | CACHE MISS d76ef3d5 |   29724 uops in cache | <frozen runpy>:88
*** DISK:/h  122 view   47.81 MB @ 3777749376                   arg  2 mem  11.02 GB tm      1.90us/  5987.99ms (      0 GFLOPS    0|0      GB/s)
*** AMD      123 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem  11.07 GB tm     27.15ms/  6015.14ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.21 ms | CACHE MISS 75cf4af0 |   29731 uops in cache | <frozen runpy>:88
*** DISK:/h  124 view   47.81 MB @ 3827904896                   arg  2 mem  11.07 GB tm      2.00us/  6015.14ms (      0 GFLOPS    0|0      GB/s)
*** AMD      125 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem  11.12 GB tm     27.01ms/  6042.15ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.22 ms | CACHE MISS c7a03f9c |   29738 uops in cache | <frozen runpy>:88
*** DISK:/h  126 view   14.06 MB @ 3881010048                   arg  2 mem  11.12 GB tm      1.97us/  6042.15ms (      0 GFLOPS    0|0      GB/s)
*** AMD      127 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem  11.13 GB tm   8864.62us/  6051.02ms (      0 GFLOPS    2|2      GB/s)
